index,valore,media,devstd
0,5.0,4.885087200000001,1.046623785686588
1,7.5,8.320525499999999,1.4391137642682237
2,10.0,10.255697899999998,1.368778411199035
3,12.5,13.511863299999998,1.9348768859974208
4,15.0,15.451007299999997,1.5068968649905767
5,20.0,20.525641999999998,1.1793919234695245
6,25.0,26.0565255,2.4727712008010894
7,30.0,31.714218400000004,1.9574433418359616
8,35.0,36.447863000000005,1.6867073759259499
9,40.0,41.059184,1.2635720313549292
10,45.0,46.603379000000004,1.0774378356307373
11,50.0,51.22036699999999,0.9630544024576662
