index,distance
0,1.2316,
1,1.2651,
2,1.2332,
3,1.3044,
4,1.3049,
5,1.0707,
6,1.1227,
7,1.1228,
8,1.1322,
9,1.1014,
10,1.1232,
11,1.1099,
12,1.1189,
13,1.0368,
14,1.0921,
15,1.0878,
16,1.1025,
17,1.0467,
18,1.0328,
19,1.141,
20,1.0686,
21,1.0904,
22,1.1079,
23,1.1162,
24,1.2813,
25,1.0868,
26,1.1036,
27,1.0921,
28,1.0615,
29,1.1016,
30,1.1033,
31,1.0581,
32,1.1006,
33,1.2179,
34,1.0428,
35,1.0921,
36,1.0904,
37,1.1026,
38,1.0562,
39,1.0878,
40,1.1065,
41,1.1048,
42,1.0693,
43,1.1103,
44,1.1048,
45,1.1194,
46,1.0695,
47,1.1055,
48,1.095,
49,1.0445,
50,1.0992,
51,1.1245,
52,1.2316,
53,1.0916,
54,1.0902,
55,1.0686,
56,1.073,
57,1.2181,
58,1.0797,
59,1.0628,
60,1.064,
61,1.0984,
62,1.0982,
63,1.107,
64,1.1317,
65,1.0632,
66,1.123,
67,1.1048,
68,1.0627,
69,1.1186,
70,1.0943,
71,1.1058,
72,1.0972,
73,1.0625,
74,1.0972,
75,1.124,
76,1.0838,
77,1.0962,
78,1.1375,
79,1.2791,
80,1.0703,
81,1.2233,
82,1.2755,
83,-168.73,
84,1.2276,
85,1.1902,
86,1.0652,
87,1.0909,
88,1.1154,
89,1.0907,
90,1.2398,
91,1.2782,
92,1.1053,
93,1.0812,
94,1.0569,
95,1.0924,
96,1.2291,
97,1.0431,
98,1.2318,
99,1.2327,
