index,distance
0,31,
1,30,
2,32,
3,31,
4,31,
5,32,
6,31,
7,32,
8,31,
9,33,
10,33,
11,30,
12,32,
13,32,
14,34,
15,32,
16,29,
17,30,
18,31,
19,31,
20,32,
21,32,
22,33,
23,31,
24,32,
25,33,
26,31,
27,32,
28,30,
29,32,
30,32,
31,32,
32,31,
33,33,
34,30,
35,32,
36,31,
37,29,
38,32,
39,33,
40,32,
41,32,
42,32,
43,31,
44,33,
45,32,
46,32,
47,33,
48,31,
49,32,
50,31,
51,31,
52,32,
53,33,
54,32,
55,33,
56,31,
57,31,
58,32,
59,30,
60,29,
61,32,
62,32,
63,33,
64,34,
65,31,
66,32,
67,32,
68,34,
69,31,
70,32,
71,32,
72,31,
73,31,
74,32,
75,34,
76,33,
77,31,
78,32,
79,32,
80,31,
81,32,
82,31,
83,33,
84,33,
85,32,
86,33,
87,32,
88,31,
89,33,
90,32,
91,32,
92,30,
93,31,
94,32,
95,30,
96,33,
97,32,
98,34,
99,31,
