index,distance
0,0.50524,
1,0.52445,
2,0.50116,
3,0.52768,
4,0.50949,
5,0.50932,
6,0.4777,
7,0.50575,
8,0.51374,
9,0.55267,
10,0.54978,
11,0.50082,
12,0.50592,
13,0.50915,
14,0.50983,
15,0.51272,
16,0.51,
17,0.50915,
18,0.51374,
19,0.50949,
20,0.51187,
21,0.50898,
22,0.51374,
23,0.51204,
24,0.50949,
25,0.51119,
26,0.50932,
27,0.50932,
28,0.51408,
29,0.5134,
30,0.51374,
31,0.50966,
32,0.5049,
33,0.5151,
34,0.51289,
35,0.50524,
36,0.51799,
37,0.50507,
38,0.5168,
39,0.5049,
40,0.51765,
41,0.50915,
42,0.51255,
43,0.50932,
44,0.50932,
45,0.51425,
46,0.50949,
47,0.51782,
48,0.50915,
49,0.50949,
50,0.51323,
51,0.50524,
52,0.51323,
53,0.51374,
54,0.51646,
55,0.50524,
56,0.51816,
57,0.50915,
58,0.51816,
59,0.50524,
60,0.51731,
61,0.50915,
62,0.51833,
63,0.50524,
64,0.5134,
65,0.51714,
66,0.50524,
67,0.51714,
68,0.51357,
69,0.50507,
70,0.51561,
71,0.50524,
72,0.51629,
73,0.50966,
74,0.51595,
75,0.50524,
76,0.51612,
77,0.5049,
78,0.50949,
79,0.51714,
80,0.50507,
81,0.5049,
82,0.51629,
83,0.44863,
84,0.51357,
85,0.50507,
86,0.51374,
87,0.50966,
88,0.51255,
89,0.51527,
90,0.50541,
91,0.5134,
92,0.50524,
93,0.45679,
94,0.5134,
95,0.51595,
96,0.51357,
97,0.51578,
98,0.50524,
99,0.51323,
