index,distance
0,89,
1,88,
2,88,
3,89,
4,88,
5,89,
6,88,
7,86,
8,87,
9,87,
10,86,
11,88,
12,85,
13,84,
14,85,
15,87,
16,85,
17,85,
18,87,
19,86,
20,85,
21,85,
22,85,
23,84,
24,82,
25,79,
26,79,
27,79,
28,74,
29,72,
30,70,
31,70,
32,68,
33,67,
34,62,
35,59,
36,60,
37,58,
38,57,
39,56,
40,52,
41,55,
42,57,
43,56,
44,56,
45,58,
46,57,
47,59,
48,56,
49,56,
50,55,
51,56,
52,57,
53,55,
54,55,
55,60,
56,56,
57,55,
58,56,
59,54,
60,56,
61,60,
62,56,
63,56,
64,55,
65,54,
66,53,
67,55,
68,57,
69,56,
70,55,
71,55,
72,56,
73,54,
74,58,
75,55,
76,56,
77,56,
78,56,
79,54,
80,56,
81,56,
82,56,
83,56,
84,56,
85,55,
86,57,
87,55,
88,57,
89,52,
90,53,
91,58,
92,55,
93,55,
94,53,
95,53,
96,54,
97,54,
98,55,
99,57,
