index,distance
0,0.60333,
1,0.60316,
2,0.57664,
3,0.6035,
4,0.60333,
5,0.6035,
6,0.6035,
7,0.60333,
8,0.60333,
9,0.54383,
10,0.60333,
11,0.60299,
12,0.60316,
13,0.60775,
14,0.60775,
15,0.6035,
16,0.60333,
17,0.60775,
18,0.60775,
19,0.6035,
20,0.57834,
21,0.60316,
22,0.6035,
23,0.60758,
24,0.60333,
25,0.6035,
26,0.60792,
27,0.6035,
28,0.59534,
29,0.60333,
30,0.60333,
31,0.58973,
32,0.6035,
33,0.57783,
34,0.77095,
35,0.60316,
36,0.60469,
37,0.60758,
38,0.60248,
39,0.60792,
40,0.60775,
41,0.5814,
42,0.60792,
43,0.60792,
44,0.60333,
45,0.55709,
46,0.57171,
47,0.60333,
48,0.60316,
49,0.60299,
50,0.60367,
51,0.60316,
52,0.60605,
53,0.60333,
54,0.60197,
55,0.60333,
56,0.6035,
57,0.60299,
58,0.6035,
59,0.60129,
60,0.60792,
61,0.60299,
62,0.6035,
63,0.60775,
64,0.60367,
65,0.60316,
66,0.5865,
67,0.6035,
68,0.60316,
69,0.60758,
70,0.60758,
71,0.59194,
72,0.60792,
73,0.58191,
74,0.60775,
75,0.60316,
76,0.6035,
77,0.60588,
78,0.60299,
79,0.5916,
80,0.60367,
81,0.59483,
82,0.60758,
83,0.60333,
84,0.60775,
85,0.60758,
86,0.6035,
87,0.57562,
88,0.6035,
89,0.60758,
90,0.60775,
91,0.60758,
92,0.60333,
93,0.63053,
94,0.58327,
95,0.60775,
96,0.59636,
97,0.60316,
98,0.60316,
99,0.62441,
