valore,media,devstd,error
0,8.243333333333334,0.9970469217156052,8.243333333333334
10,13.496666666666666,1.0328980994439896,3.496666666666666
15,17.313333333333333,1.0289239543823905,2.3133333333333326
20,26.22,1.0903652237072832,6.219999999999999
25,31.946666666666665,1.0929183213210185,6.946666666666665
30,36.68,1.1143334915700875,6.68
35,42.20333333333333,1.1944641914142056,7.203333333333333
40,47.13,1.1478203861214467,7.130000000000003
45,52.56666666666667,1.4161829458120583,7.56666666666667
50,59.07333333333333,1.2462474330713835,9.07333333333333
55,64.69333333333333,1.1735471579768497,9.693333333333328
5,9.153333333333334,0.8902043406521573,4.153333333333334
60,69.08333333333333,1.1893010603977023,9.083333333333329
65,74.03333333333333,1.3004587133415304,9.033333333333331
70,78.15666666666667,1.2874966852789318,8.156666666666666
75,82.97333333333333,1.1358945418727966,7.973333333333329
80,88.8,1.2617342208829707,8.799999999999997
85,93.58,1.3226607418862517,8.579999999999998
90,98.96,1.5382742360899306,8.959999999999994
95,104.28,1.6605596026580716,9.280000000000001
100,110.16666666666667,1.6637655910701439,10.166666666666671
105,115.34666666666666,1.3684777406462885,10.346666666666664
110,119.78,1.525129524627214,9.780000000000001
115,123.99666666666667,1.4388269407542926,8.99666666666667
120,129.96,1.4670517382408792,9.960000000000008
125,135.19333333333333,1.5067148106474242,10.193333333333328
130,139.52,1.811224756085466,9.52000000000001
135,144.63,1.6800322500487939,9.629999999999995
140,149.19,1.8471436867041782,9.189999999999998
145,154.67333333333335,1.729139081189213,9.673333333333346
150,159.76333333333332,1.7079360959694228,9.763333333333321
155,163.21,1.6758864274543643,8.210000000000008
160,169.06666666666666,1.6240939503059206,9.066666666666663
165,172.49333333333334,1.8076266028524868,7.493333333333339
170,176.95666666666668,1.951276630958299,6.956666666666678
