valore,media,devstd
0,20,141.19,1.5088627063675033
1,30,152.02,1.302522804624033
2,40,153.09,6.75411584206851
3,50,77.61,41.41753276333611
4,60,64.46,44.76840967747799
5,70,2.48,24.799999999999997
6,80,0.0,0.0
7,90,0.0,0.0
8,100,0.0,0.0
9,110,29.1,44.67492008776832
10,120,0.0,0.0
11,130,0.0,0.0
12,140,0.0,0.0
13,150,0.0,0.0
14,160,0.0,0.0
15,170,0.0,0.0
16,180,0.0,0.0
