valore,media,devstd,error
0,6.023333333333333,0.9622240588103168,6.023333333333333
5,7.94,0.9160771388997303,2.9400000000000004
10,11.936666666666667,1.0939124142830774,1.9366666666666674
15,20.926666666666666,1.097864553340024,5.926666666666666
20,21.323333333333334,1.2978457410058586,1.3233333333333341
25,33.56,1.6478627081819415,8.560000000000002
30,30.79,1.3133861875290045,0.7899999999999991
35,50.52,1.6987896537315672,15.520000000000003
40,57.836666666666666,2.5426112158314327,17.836666666666666
45,58.79333333333334,2.4652682166766513,13.793333333333337
50,59.33,1.4098672818773974,9.329999999999998
55,62.623333333333335,1.2911282907206472,7.623333333333335
60,67.80666666666667,1.8657148393474894,7.806666666666672
65,74.15333333333334,1.956847736993046,9.153333333333336
70,81.13666666666667,2.149431492595214,11.13666666666667
75,90.32,1.8839934814449573,15.319999999999993
80,94.89333333333333,2.038579959118919,14.89333333333333
85,94.69333333333333,2.6424541817341134,9.693333333333328
90,103.89666666666666,2.8306709243266543,13.896666666666661
95,104.43333333333334,3.3550574147710583,9.433333333333337
100,113.45,2.956909034243241,13.450000000000003
105,114.81666666666666,4.2845747542751695,9.816666666666663
110,121.54666666666667,2.467410776913521,11.546666666666667
115,124.23,2.258488262260672,9.230000000000004
120,126.32666666666667,3.0050051150306034,6.326666666666668
125,127.33666666666667,2.663387755599589,2.336666666666673
130,134.27,2.6433041550656426,4.27000000000001
135,135.11,2.39939373613489,0.11000000000001364
140,139.83,2.293170024778321,-0.1699999999999875
145,149.26333333333332,4.487886582287235,4.263333333333321
150,153.67333333333335,3.9461198361716003,3.673333333333346
155,178.58666666666667,3.4246532264293856,23.586666666666673
160,174.96,2.3742768657954585,14.960000000000008
165,189.82,19.371761677804944,24.819999999999993
170,202.39,30.48215498574946,32.389999999999986
