distance
163.8,
166.8,
166.8,
161.8,
164.8,
166.8,
164.8,
165.8,
161.8,
161.8,
167.8,
163.8,
164.8,
164.8,
165.8,
164.8,
165.8,
166.8,
162.8,
168.8,
165.8,
163.8,
170.8,
164.8,
161.8,
164.8,
162.8,
165.8,
165.8,
164.8,
163.8,
162.8,
164.8,
164.8,
165.8,
166.8,
160.8,
166.8,
163.8,
163.8,
166.8,
163.8,
166.8,
168.8,
163.8,
163.8,
163.8,
161.8,
167.8,
166.8,
168.8,
164.8,
163.8,
164.8,
165.8,
162.8,
165.8,
165.8,
164.8,
164.8,
165.8,
164.8,
168.8,
164.8,
162.8,
166.8,
167.8,
162.8,
160.8,
166.8,
164.8,
165.8,
164.8,
166.8,
164.8,
165.8,
162.8,
165.8,
168.8,
162.8,
164.8,
163.8,
166.8,
166.8,
163.8,
164.8,
166.8,
161.8,
165.8,
163.8,
165.8,
163.8,
164.8,
166.8,
163.8,
167.8,
164.8,
164.8,
165.8,
162.8,
164.8,
162.8,
163.8,
168.8,
161.8,
165.8,
163.8,
165.8,
162.8,
161.8,
165.8,
162.8,
163.8,
163.8,
166.8,
164.8,
161.8,
165.8,
163.8,
165.8,
169.8,
165.8,
165.8,
165.8,
162.8,
162.8,
164.8,
161.8,
160.8,
164.8,
168.8,
163.8,
164.8,
163.8,
169.8,
164.8,
165.8,
162.8,
164.8,
167.8,
166.8,
169.8,
162.8,
166.8,
163.8,
163.8,
162.8,
164.8,
164.8,
163.8,
164.8,
167.8,
163.8,
163.8,
165.8,
165.8,
161.8,
163.8,
163.8,
164.8,
164.8,
164.8,
166.8,
163.8,
165.8,
162.8,
162.8,
163.8,
167.8,
165.8,
163.8,
161.8,
165.8,
161.8,
166.8,
165.8,
166.8,
165.8,
167.8,
167.8,
167.8,
163.8,
162.8,
166.8,
163.8,
164.8,
165.8,
165.8,
165.8,
161.8,
165.8,
167.8,
168.8,
164.8,
164.8,
167.8,
164.8,
165.8,
165.8,
164.8,
