valore,media,devstd,error
30,36.925,1.2598855336057102,6.924999999999997
31,37.115,1.3306495183569254,6.115000000000002
32,38.955,1.4294023068310298,6.954999999999998
33,40.8,1.1517956267624676,7.799999999999997
34,42.12,1.1498743649966208,8.119999999999997
35,43.08,1.104399607235674,8.079999999999998
36,44.35,1.3176421762081743,8.350000000000001
37,45.29,1.2464623306416214,8.29
38,46.595,1.125749331684876,8.594999999999999
39,47.595,1.3602301756148725,8.594999999999999
40,48.37,1.3121389189844068,8.369999999999997
41,49.52,1.1603153270949484,8.520000000000003
42,50.83,1.3036863081085681,8.829999999999998
43,51.98,1.3634128033584725,8.979999999999997
44,53.445,1.274794298117372,9.445
45,54.18,1.336612383347013,9.18
46,55.735,1.335549874522357,9.735
47,56.875,1.25988553360571,9.875
48,57.73,1.2944023280783579,9.729999999999997
49,59.05,1.2511301423776144,10.049999999999997
50,60.02,1.12959280251668,10.020000000000003
51,61.21,1.2704211306673985,10.21
52,61.945,1.2038359961089544,9.945
53,62.89,1.2908257650740067,9.89
54,64.03,1.1984495846864716,10.030000000000001
55,64.985,1.2133159845613013,9.985
56,65.995,1.221653463928969,9.995000000000005
57,66.94,1.2586983785006638,9.939999999999998
58,68.02,1.326043724693494,10.019999999999996
59,68.86,1.2917986370146723,9.86
60,69.905,1.1802286636463557,9.905000000000001
61,70.8,1.314778770774917,9.799999999999997
62,71.74,1.2964582600687544,9.739999999999995
63,72.63,1.4188607504423147,9.629999999999995
64,74.13,1.3424271126447869,10.129999999999995
65,74.84,1.2933537099708947,9.840000000000003
66,75.62,1.3983479125103706,9.620000000000005
67,76.7,1.2481141553253925,9.700000000000003
68,77.505,1.3109415849670725,9.504999999999995
69,78.565,1.3054870671178862,9.564999999999998
70,79.47,1.2834861446143802,9.469999999999999
71,80.49,1.3070739118562793,9.489999999999995
72,81.41,1.232678987992083,9.409999999999997
73,82.195,1.3097911145747996,9.194999999999993
74,83.195,1.2589279159218916,9.194999999999993
75,83.89,1.1682138580287653,8.89
76,85.065,1.334043989842228,9.064999999999998
77,85.68,1.4345345751274805,8.680000000000007
78,86.685,1.2584488338175228,8.685000000000002
79,87.635,1.3116313828290744,8.635000000000005
80,88.57,1.3129046397072501,8.569999999999993
81,89.245,1.26609239384365,8.245000000000005
82,90.46,1.35557660783096,8.459999999999994
83,91.64,1.2995553936271929,8.64
84,92.39,1.3479558318517397,8.39
85,93.425,1.5382477141704953,8.424999999999997
86,94.15,1.3954340474936542,8.150000000000006
87,95.39,1.4170178892633862,8.39
88,96.59,1.4113324542723489,8.590000000000003
89,97.685,1.4162641067613422,8.685000000000002
90,99.18,1.5748015748023623,9.180000000000007
91,100.18,1.5651994269840364,9.180000000000007
92,101.44,1.621588029893372,9.439999999999998
93,102.63,1.7022302839799592,9.629999999999995
94,103.99,1.6195724977218169,9.989999999999995
95,105.13,1.617461252865927,10.129999999999995
96,105.695,1.5243336133616292,9.694999999999993
97,107.5,1.4733819163261046,10.5
98,108.34,1.5218343863566386,10.340000000000003
99,109.58,1.5445153408726489,10.579999999999998
100,110.57,1.4301491646558513,10.569999999999993
101,111.44,1.4755630898612244,10.439999999999998
102,112.9,1.4801874117385765,10.900000000000006
103,113.71,1.4374390963720496,10.709999999999994
104,114.56,1.4549862283276482,10.560000000000002
105,115.415,1.4116439683813111,10.415000000000006
106,116.74,1.3681223607447723,10.739999999999995
107,117.055,1.5044239619490354,10.055000000000007
108,118.15,1.437998329616519,10.150000000000006
109,119.265,1.6303574229699345,10.265
110,120.33,1.5174363463838054,10.329999999999998
111,121.2,1.463114321434911,10.200000000000003
112,122.08,1.5703278792154223,10.079999999999998
113,123.275,1.4663306680761687,10.275000000000006
114,123.98,1.4800516084985331,9.980000000000004
115,124.86,1.4632516966121005,9.86
116,125.395,1.38874694975444,9.394999999999996
117,126.835,1.4450661162735807,9.834999999999994
118,127.355,1.4764397623537833,9.355000000000004
119,128.55,1.4026177966278217,9.550000000000011
120,129.55,1.5651673213169872,9.550000000000011
121,130.17,1.477162838095806,9.169999999999987
122,131.1,1.4733819163261044,9.099999999999994
123,132.255,1.5170637468677122,9.254999999999995
124,132.855,1.6606516248435361,8.85499999999999
125,134.065,1.6011224078202515,9.064999999999998
126,134.885,1.5951481083075596,8.884999999999991
127,136.225,1.6877849657027582,9.224999999999994
128,137.15,1.6887151310892696,9.150000000000006
129,137.845,1.742456822677243,8.844999999999999
130,139.33,1.7075357659386814,9.330000000000013
131,140.02,1.9020221981383536,9.02000000000001
132,141.265,1.7806257722226528,9.264999999999986
133,142.075,1.750628028012322,9.074999999999989
134,143.47,1.987169902425439,9.469999999999999
135,144.43,1.8114931790344788,9.430000000000007
136,145.825,1.720224070948711,9.824999999999989
137,146.68,1.7501184453814322,9.680000000000007
138,147.5,1.7042660041980908,9.5
139,148.53,1.7216037865867833,9.530000000000001
140,149.455,1.8205899424893754,9.455000000000013
141,150.54,1.6770397465646985,9.539999999999992
142,151.97,1.795891458483298,9.969999999999999
143,152.695,1.881401968435818,9.694999999999993
144,153.535,1.7901952393453833,9.534999999999997
145,154.51,1.7276643541507175,9.509999999999991
146,155.445,1.7239008587660345,9.444999999999993
147,156.385,1.755615541526174,9.384999999999991
148,157.465,1.781754259488673,9.465000000000003
149,157.965,1.7576180203695106,8.965000000000003
150,159.315,1.58376658094385,9.314999999999998
151,160.255,1.6564098126178448,9.254999999999995
152,161.39,1.6888341552740167,9.389999999999986
153,162.11,1.6947747067184664,9.110000000000014
154,162.785,1.738934867199404,8.784999999999997
155,163.325,1.6833130171087725,8.324999999999989
156,164.495,1.7565312436874705,8.495000000000005
157,165.665,1.6783501709960325,8.664999999999992
158,166.59,1.7136460878993842,8.590000000000003
159,167.13,1.6634105546637712,8.129999999999995
160,168.085,1.7036098239211945,8.085000000000008
161,168.925,1.7903636530186404,7.925000000000011
162,170.375,1.849724955786752,8.375
163,171.115,2.115217655146443,8.115000000000009
164,171.58,1.7746398884473273,7.5800000000000125
165,172.63,2.0916440601526496,7.6299999999999955
166,174.41,2.084134854190645,8.409999999999997
167,175.66,2.0919563587788286,8.659999999999997
168,176.915,1.9277854610717444,8.914999999999992
169,177.665,2.0032072274180472,8.664999999999992
170,178.64,2.069253257874959,8.639999999999986
