valore,media,devstd,error
0,5.823333333333333,1.6168393407307577,5.823333333333333
10,14.74,0.9532903764362777,4.74
15,20.516666666666666,0.976165227164253,5.516666666666666
20,26.133333333333333,0.9893524564916737,6.133333333333333
25,31.723333333333333,0.9538457043189503,6.723333333333333
30,37.28666666666667,0.9349166376134883,7.286666666666669
35,41.57666666666667,0.9903154233279211,6.576666666666668
40,47.153333333333336,1.2335156091766724,7.153333333333336
45,53.47666666666667,1.175042398248318,8.476666666666667
50,58.233333333333334,1.090651467840773,8.233333333333334
55,63.79,1.1329217562063227,8.79
5,7.166666666666667,0.9027395441121995,2.166666666666667
60,68.72333333333333,1.1767489178272403,8.72333333333333
65,72.98666666666666,1.1478446672595015,7.986666666666665
70,77.83666666666667,1.1781123537034648,7.836666666666673
75,82.13333333333334,1.1459783783742283,7.13333333333334
80,86.52333333333333,1.1491405348280244,6.523333333333326
85,92.30333333333333,1.2039465019207372,7.3033333333333275
90,97.03333333333333,1.277103048391001,7.033333333333331
95,104.39333333333333,1.50981921736322,9.39333333333333
100,108.91666666666667,1.3914654658660708,8.916666666666671
105,113.49666666666667,1.2116997468338209,8.49666666666667
110,118.28666666666666,1.2176882899414052,8.286666666666662
115,122.18666666666667,1.1674897558389332,7.186666666666667
120,127.39333333333333,1.2952016754760918,7.393333333333331
125,132.05666666666667,1.3213409964825535,7.056666666666672
130,138.38666666666666,1.4202862148157112,8.386666666666656
135,142.88,1.4209140211562397,7.8799999999999955
140,146.10333333333332,1.3386418848501414,6.103333333333325
145,151.81,1.4425103536548145,6.810000000000002
150,157.76333333333332,1.3466130766294329,7.763333333333321
155,161.67,1.326763356196003,6.6699999999999875
160,166.45333333333335,1.3013328216092712,6.453333333333347
165,170.89666666666668,1.507835351437851,5.896666666666675
170,175.35333333333332,1.592779135180742,5.353333333333325
