index,valore,media,devstd
0,5.0,5.54965,1.4765482842963809
1,7.5,8.79206,1.973356069791212
2,10.0,11.07635,1.1058051262644462
3,12.5,13.739910000000002,1.857873124670718
4,15.0,16.497989999999998,0.8047336154394082
5,20.0,20.60638,1.0291884689630295
6,25.0,26.184419999999996,1.8050326625098152
7,30.0,32.110279999999996,1.8867295956953472
8,35.0,36.05088,1.3748296076608948
9,40.0,41.371030000000005,3.79748781780319
10,45.0,46.46219,1.1641612292014187
11,50.0,51.05355,1.1666138375484822
12,60.0,60.274519999999995,2.04575060182039
13,70.0,72.30717,12.662926889753907
