valore,media,devstd,error
31,40.27,1.0355975625491733,9.270000000000003
32,41.35,1.2144440587607552,9.350000000000001
33,42.755,1.053815751538643,9.755000000000003
34,43.675,1.2518830038291844,9.674999999999997
35,44.885,1.2326280295760284,9.884999999999998
36,45.925,1.1985648872483807,9.924999999999997
37,47.45,1.2945576066691373,10.450000000000003
38,48.775,1.2418073228708544,10.774999999999999
39,49.595,1.173824655392806,10.594999999999999
40,51.11,1.2512907908300455,11.11
41,51.99,1.2480738929290425,10.990000000000002
42,52.695,1.191247393180272,10.695
43,53.76,1.135272751855486,10.759999999999998
44,55.13,1.1443986373663813,11.130000000000003
45,55.925,1.1115542109222993,10.924999999999997
46,56.895,1.0815840793035996,10.895000000000003
47,57.7,1.060956238825861,10.700000000000003
48,58.795,1.0528616186088742,10.795000000000002
49,59.77,1.1807075640304816,10.770000000000003
50,60.685,1.2423737208712835,10.685000000000002
51,61.6,1.2561406956373082,10.600000000000001
52,62.515,1.1252135475713894,10.515
53,63.48,1.164638102393932,10.479999999999997
54,64.33,1.178151179180764,10.329999999999998
55,65.29,1.2544994397053773,10.290000000000006
56,66.425,1.0956171249218911,10.424999999999997
57,67.115,1.1126386763548186,10.114999999999995
58,68.34,1.2578996612563915,10.340000000000003
59,69.03,1.2517726124847253,10.030000000000001
60,70.15,1.23902214645138,10.150000000000006
61,71.07,1.2258111866542227,10.069999999999993
62,72.005,1.118584442846804,10.004999999999995
63,72.94,1.1931125629795785,9.939999999999998
64,73.85,1.0785715474249136,9.849999999999994
65,74.54,1.1020310167182432,9.540000000000006
66,75.695,1.2408357533671293,9.694999999999993
67,76.84,1.1795578764603278,9.840000000000003
68,77.77,1.124018276286972,9.769999999999996
69,78.52,1.1646381023939318,9.519999999999996
70,79.44,1.145846771658673,9.439999999999998
71,80.32,1.1152663787084174,9.319999999999993
72,81.26,1.1484750649771946,9.260000000000005
73,82.165,1.2104133601842646,9.165000000000006
74,83.435,1.167299421613192,9.435000000000002
75,84.065,1.1865134092591447,9.064999999999998
76,85.195,1.1013810426028883,9.194999999999993
77,85.85,1.101620551367838,8.849999999999994
78,87.005,1.1452216655812022,9.004999999999995
79,87.905,1.369434831890138,8.905000000000001
80,88.885,1.2244473679108951,8.885000000000005
81,90.37,1.4153146568482389,9.370000000000005
82,91.11,1.3774566906706602,9.11
83,92.28,1.4112256336053153,9.280000000000001
84,93.495,1.407080087222933,9.495000000000005
85,94.655,1.4923506802235926,9.655000000000001
86,96.21,1.6672729215622961,10.209999999999994
87,97.325,1.3522268995770268,10.325000000000003
88,98.365,1.425459460443135,10.364999999999995
89,99.37,1.4329573734660968,10.370000000000005
90,100.695,1.252926223128487,10.694999999999993
91,101.49,1.2798790772027278,10.489999999999995
92,102.775,1.3240621977526539,10.775000000000006
93,104.135,1.2468150378839145,11.135000000000005
94,104.91,1.228595635748762,10.909999999999997
95,105.71,1.1456274750361868,10.709999999999994
96,106.93,1.2975043691408898,10.930000000000007
97,107.935,1.2033349805340507,10.935000000000002
98,108.685,1.13233649135239,10.685000000000002
99,109.815,1.2157984327781184,10.814999999999998
100,110.59,1.2079718456568007,10.590000000000003
101,111.625,1.2737689889402748,10.625
102,112.05,1.2430712492263936,10.049999999999997
103,113.51,1.2277773356474895,10.510000000000005
104,114.73,1.282702862383112,10.730000000000004
105,115.285,1.1664381207107544,10.284999999999997
106,116.345,1.2822620558604618,10.344999999999999
107,117.075,1.25988553360571,10.075000000000003
108,118.425,1.2090009996213515,10.424999999999997
109,119.125,1.168848163856518,10.125
110,119.93,1.2975043691408898,9.930000000000007
111,120.695,1.2649011322517898,9.694999999999993
112,121.785,1.2556505451188584,9.784999999999997
113,122.51,1.2877076355966324,9.510000000000005
114,123.22,1.2284729254823716,9.219999999999999
115,124.33,1.2034706928474466,9.329999999999998
116,125.33,1.378623594414145,9.329999999999998
117,126.08,1.338866242038521,9.079999999999998
118,127.12,1.27030246071892,9.120000000000005
119,128.275,1.283593808541718,9.275000000000006
120,129.235,1.3298940147441305,9.235000000000014
121,130.24,1.3644444080700275,9.240000000000009
122,130.99,1.5302313681927335,8.990000000000009
123,132.63,1.4364599143126604,9.629999999999995
124,133.67,1.4462219016958373,9.669999999999987
125,134.595,1.5371366057457674,9.594999999999999
126,135.375,1.4918118221018408,9.375
127,136.405,1.5305843466503424,9.405000000000001
128,137.96,1.3518645229616064,9.960000000000008
129,138.67,1.425221485035584,9.669999999999987
130,139.77,1.509467608897772,9.77000000000001
131,140.55,1.373657407568144,9.550000000000011
132,141.66,1.3202710244072793,9.659999999999997
133,142.795,1.3235307583663134,9.794999999999987
134,144.145,1.501749398628615,10.14500000000001
135,144.72,1.407660306213272,9.719999999999999
136,145.995,1.4371156903804538,9.995000000000005
137,147.215,1.3994884205294373,10.215000000000003
138,147.78,1.3493344720965,9.780000000000001
139,148.6,1.2955276761995456,9.599999999999994
140,149.93,1.4579878748522157,9.930000000000007
141,150.53,1.352124700621267,9.530000000000001
142,151.705,1.4311589989941755,9.705000000000013
143,152.835,1.267203227623929,9.835000000000008
144,153.845,1.4771203140267732,9.844999999999999
145,154.565,1.416264106761342,9.564999999999998
146,155.595,1.3036381253281317,9.594999999999999
147,156.625,1.4646161621778462,9.625
148,157.465,1.4030745135067706,9.465000000000003
149,158.175,1.4884395390161245,9.175000000000011
150,159.115,1.4077227770713334,9.115000000000009
151,160.16,1.4473680844413062,9.159999999999997
152,161.375,1.481671947090168,9.375
153,162.36,1.4563670640074324,9.360000000000014
154,162.765,1.5169974973727467,8.764999999999986
155,163.935,1.432141805392807,8.935000000000002
156,164.505,1.4035042289223838,8.504999999999995
157,166.1,1.5563131281216576,9.099999999999994
158,166.945,1.5983581400044837,8.944999999999993
159,167.52,1.4935708114596444,8.52000000000001
160,168.66,1.495184901424314,8.659999999999997
161,169.79,1.5452634713795248,8.789999999999992
162,172.34,1.9269055047200945,10.340000000000003
163,173.435,1.893064570303053,10.435000000000002
164,173.245,1.5930044935852865,9.245000000000005
165,174.535,1.7533241938224704,9.534999999999997
166,175.545,1.6918293153154678,9.544999999999987
167,176.455,1.6436186942415512,9.455000000000013
168,177.805,1.8558545147450263,9.805000000000007
169,178.625,1.8659538899978183,9.625
170,179.765,1.6441689260189882,9.764999999999986
