valore,media,devstd,error
0,5.863333333333333,0.9132921570355041,5.863333333333333
10,17.826666666666668,1.1435242518653623,7.826666666666668
15,24.106666666666666,1.0354690770793273,9.106666666666666
20,30.05666666666667,1.1094556601150978,10.056666666666668
25,34.74,1.1119899905711537,9.740000000000002
30,40.15,1.0823145024780214,10.149999999999999
35,44.67,1.157106875388023,9.670000000000002
40,50.446666666666665,1.3189469127873925,10.446666666666665
45,56.29333333333334,1.227045649371296,11.293333333333337
50,62.0,1.213083635350224,12.0
55,66.34333333333333,1.209821384128198,11.343333333333334
5,13.136666666666667,0.9562270246290847,8.136666666666667
60,70.83666666666667,1.1522795012723244,10.836666666666673
65,75.84333333333333,1.2180864793297623,10.843333333333334
70,80.73333333333333,1.1013319188785418,10.733333333333334
75,85.02333333333333,1.1549467066519747,10.023333333333326
80,89.67333333333333,1.2537391121868133,9.673333333333332
85,94.87,1.3611056886414714,9.870000000000005
90,100.74666666666667,1.6241763198460684,10.74666666666667
95,106.06,1.4340811095480417,11.060000000000002
100,111.59666666666666,1.3490944152875624,11.596666666666664
105,116.61333333333333,1.3601429526810709,11.61333333333333
110,121.03666666666666,1.4149189166490046,11.036666666666662
115,125.7,1.3697642792108453,10.700000000000003
120,130.1,1.374638900592956,10.099999999999994
125,134.67,1.5017603939831599,9.669999999999987
130,140.28333333333333,1.7644924674765528,10.283333333333331
135,145.59666666666666,1.583988305532093,10.596666666666664
140,150.57,1.6555672774108108,10.569999999999993
145,155.4,1.5453025160856808,10.400000000000006
150,160.03333333333333,1.6936500199833258,10.033333333333331
155,164.19666666666666,1.6453000526041504,9.196666666666658
160,169.66,1.7400649663034198,9.659999999999997
165,173.94666666666666,1.9535977159268156,8.946666666666658
170,180.06666666666666,2.2177956655809816,10.066666666666663
