distance
90
90
95
88
89
92
87
90
89
90
89
87
92
88
88
89
91
92
88
89
86
89
86
90
86
87
86
90
92
91
88
87
89
86
92
92
86
89
87
92
93
86
88
90
91
87
89
90
84
92
88
88
89
89
88
87
92
88
91
90
90
89
93
87
88
92
86
89
84
87
88
88
88
87
89
90
87
90
88
88
90
89
90
89
90
90
89
86
90
88
90
89
91
88
93
87
89
88
87
92
88
88
89
84
87
91
90
89
88
89
90
87
90
89
91
90
89
87
88
85
87
88
90
90
93
91
93
90
90
89
89
89
89
88
90
90
89
88
86
86
87
89
88
88
90
90
89
91
89
90
88
88
88
88
88
92
89
84
92
90
90
90
87
90
89
91
88
88
87
85
95
89
89
85
91
90
90
90
88
90
87
90
85
89
89
88
88
90
88
90
90
89
89
90
92
90
90
91
89
88
92
91
88
90
88
86
86
87
87
94
89
86
91
91
88
89
89
90
89
87
90
92
88
89
90
92
88
87
86
89
89
88
88
86
89
86
87
89
87
86
89
93
90
87
88
92
89
87
89
89
87
83
88
88
88
90
88
87
88
87
88
88
89
90
89
84
87
88
88
90
87
91
91
89
88
89
86
86
87
92
93
90
85
87
90
93
89
88
86
92
91
88
87
91
88
91
89
88
91
89
