index,valore,media,devstd
0,30,24.592,0.9462170223086316
1,47,42.926,1.1520322724270475
2,64,62.474,1.2183154702991916
3,81,76.666,1.1854343124011706
4,98,92.68,1.3420888215053501
5,115,108.398,1.5926924808880574
6,132,126.908,2.0018868854669107
7,149,142.996,1.9420419805215894
8,166,160.266,1.9106399687487856
