value
15815,
13914,
13978,
13988,
13989,
13988,
14000,
13984,
13988,
13990,
13993,
13989,
13989,
13989,
13994,
14010,
13989,
13997,
14001,
14005,
13996,
13918,
13989,
13995,
13994,
13983,
13989,
13989,
13994,
13988,
13989,
13996,
13990,
13986,
13992,
13985,
13995,
13988,
13989,
13996,
13991,
13985,
13989,
13988,
13997,
13989,
13987,
13989,
13996,
13987,
13989,
13989,
13995,
13988,
13990,
13989,
13996,
13987,
13989,
13990,
13996,
13989,
13989,
13991,
13985,
13996,
13989,
13989,
13989,
13996,
13990,
13996,
13980,
13997,
13985,
13988,
13989,
13998,
13989,
13989,
13984,
13996,
13989,
13989,
13996,
13989,
13989,
13989,
13988,
13996,
13989,
13989,
13989,
14027,
13956,
13976,
13989,
13996,
13989,
13989,
