index,distance
0,0.23032,
1,0.22346,
2,0.25896,
3,0.23821,
4,0.25914,
5,0.25896,
6,0.25914,
7,0.25879,
8,0.25896,
9,0.25914,
10,0.27011,
11,0.25896,
12,0.26171,
13,0.24627,
14,0.25914,
15,0.25948,
16,0.25948,
17,0.25896,
18,0.28743,
19,0.24696,
20,0.28709,
21,0.2365,
22,0.27629,
23,0.25485,
24,0.24542,
25,0.25914,
26,0.25896,
27,0.28469,
28,0.25896,
29,0.25914,
30,0.25896,
31,0.25914,
32,0.25896,
33,0.25896,
34,0.25914,
35,0.24079,
36,0.22672,
37,0.25948,
38,0.25485,
39,0.24147,
40,0.25485,
41,0.25468,
42,0.25468,
43,0.23633,
44,0.25879,
45,0.25896,
46,0.25914,
47,0.25228,
48,0.25896,
49,0.25931,
50,0.25896,
51,0.25896,
52,0.24559,
53,0.24439,
54,0.25896,
55,0.24096,
56,0.25896,
57,0.2636,
58,0.24799,
59,0.28263,
60,0.26154,
61,0.25896,
62,0.2636,
63,0.25896,
64,0.29412,
65,0.25896,
66,0.25948,
67,0.2636,
68,0.2401,
69,0.27663,
70,0.25931,
71,0.25896,
72,0.25931,
73,0.24953,
74,0.25931,
75,0.25948,
76,0.25948,
77,0.25965,
78,0.25125,
79,0.23976,
80,0.25896,
81,0.25896,
82,0.25914,
83,0.10616,
84,0.25948,
85,0.25948,
86,0.2636,
87,0.25948,
88,0.24627,
89,0.24199,
90,0.25948,
91,0.45499,
92,0.24576,
93,0.25931,
94,0.25931,
95,0.24044,
96,0.28555,
97,0.25931,
98,0.25948,
99,0.2852,
100,0.23221,
101,0.28898,
102,0.25948,
103,0.25965,
104,0.25948,
105,0.25965,
106,0.2413,
107,0.25536,
108,0.25519,
109,0.25948,
110,0.24336,
111,0.25965,
112,0.25965,
113,0.25948,
114,0.24182,
115,0.28452,
116,0.26377,
117,0.25965,
118,0.25965,
119,0.24267,
120,0.25948,
121,0.25948,
122,0.25965,
123,0.28383,
124,0.28452,
125,0.28126,
126,0.25948,
127,0.2473,
128,0.2816,
129,0.25948,
130,0.25948,
131,0.27663,
132,0.26377,
133,0.25313,
134,0.27663,
135,0.25914,
136,0.25965,
137,0.25948,
138,0.25948,
139,0.25965,
140,0.25948,
141,0.25948,
142,0.25948,
143,0.65273,
144,0.25931,
145,0.24988,
146,0.2636,
147,0.25948,
148,0.25948,
149,0.25502,
150,0.24747,
151,0.23924,
152,0.25519,
153,0.23907,
154,0.28555,
155,0.24988,
156,0.28606,
157,0.24216,
158,0.28486,
159,0.25931,
160,0.26222,
161,0.2293,
162,0.25502,
163,0.25485,
164,0.25931,
165,0.25948,
166,0.25948,
167,0.29549,
168,0.23787,
169,0.25931,
170,0.28538,
171,0.25931,
172,0.25948,
173,0.25948,
174,0.25948,
175,0.25965,
176,0.25931,
177,0.24284,
178,0.28692,
179,0.25948,
180,0.25948,
181,0.25931,
182,0.24559,
183,0.23718,
184,0.25948,
185,0.25948,
186,0.25948,
187,0.25416,
188,0.24079,
189,0.25931,
190,0.24645,
191,0.26377,
192,0.28555,
193,0.25948,
194,0.25931,
195,0.28538,
196,0.29927,
197,0.25931,
198,0.24524,
199,0.26222,
200,0.25948,
201,0.25931,
202,0.25948,
203,0.25931,
204,0.29532,
205,0.25931,
206,0.25948,
207,0.31282,
208,0.25948,
209,0.27886,
210,0.25914,
211,0.28486,
212,0.25931,
213,0.25948,
214,0.24524,
215,0.25931,
216,0.25948,
217,0.23993,
218,0.25931,
219,0.25073,
220,0.25948,
221,0.25931,
222,0.24988,
