index,distance
0,0.12691,
1,0.12691,
2,0.14475,
3,0.13651,
4,0.1113,
5,0.12691,
6,0.15023,
7,0.12691,
8,0.12691,
9,0.1372,
10,0.12691,
11,0.11816,
12,0.13154,
13,0.11748,
14,0.12691,
15,0.11799,
16,0.12691,
17,0.12708,
18,0.12691,
19,0.14423,
20,0.13669,
21,0.13068,
22,0.13154,
23,0.13669,
24,0.14355,
25,0.136,
26,0.13806,
27,0.12691,
28,0.11816,
29,0.1252,
30,0.13651,
31,0.12691,
32,0.13823,
33,0.13703,
34,0.1408,
35,0.14114,
36,0.13892,
37,0.14166,
38,0.13154,
39,0.13926,
40,0.13994,
41,0.12691,
42,0.16378,
43,0.13994,
44,0.14012,
45,0.12691,
46,0.13806,
47,0.13806,
48,0.12691,
49,0.13994,
50,0.13806,
51,0.12708,
52,0.12691,
53,0.14063,
54,0.12691,
55,0.14509,
56,0.13892,
57,0.1396,
58,0.12691,
59,0.12691,
60,0.13789,
61,0.13754,
62,0.13857,
63,0.17116,
64,0.13669,
65,0.13994,
66,0.12417,
67,0.13771,
68,0.21266,
69,0.12691,
70,0.15589,
71,0.13943,
72,0.13154,
73,0.12691,
74,0.1679,
75,0.13909,
76,0.13943,
77,0.1408,
78,0.1396,
79,0.1408,
80,0.12691,
81,0.13943,
82,0.14406,
83,0.14166,
84,0.12708,
85,0.13154,
86,0.11971,
87,0.12931,
88,0.13686,
89,0.13703,
90,0.12708,
91,0.12708,
92,0.13909,
93,0.12691,
94,0.12708,
95,0.13651,
96,0.12708,
97,0.1456,
98,0.1396,
99,0.13771,
100,0.12708,
101,0.12708,
102,0.12897,
103,0.13823,
104,0.12691,
105,0.12657,
106,0.14732,
107,0.13771,
108,0.12691,
109,0.13857,
110,0.13686,
111,0.12708,
112,0.11285,
113,0.12485,
114,0.13686,
115,0.12708,
116,0.13977,
117,0.13737,
118,0.13634,
119,0.12159,
120,0.13634,
121,0.1372,
122,0.12691,
123,0.13789,
124,0.12691,
125,0.16876,
126,0.13874,
127,0.14046,
128,0.12691,
129,0.12674,
130,0.11559,
131,0.1384,
132,0.12691,
133,0.10341,
134,0.11525,
135,0.13463,
136,0.12691,
137,0.12297,
138,0.13686,
139,0.1372,
140,0.13343,
141,0.13909,
142,0.12708,
143,0.12674,
144,0.13737,
145,0.14029,
146,0.14114,
147,0.13257,
148,0.13926,
149,0.12691,
150,0.12691,
151,0.12605,
152,0.13823,
153,0.13977,
154,0.13188,
155,0.13926,
156,0.13909,
157,0.12691,
158,0.13686,
159,0.13651,
160,0.12674,
161,0.1396,
162,0.13857,
163,0.13874,
164,0.12691,
165,0.13789,
166,0.14303,
167,0.14252,
168,0.13806,
169,0.13703,
170,0.13154,
171,0.12708,
172,0.12674,
173,0.13703,
174,0.14269,
175,0.13771,
176,0.13789,
177,0.13823,
178,0.17167,
179,0.13806,
180,0.14012,
181,0.13154,
182,0.13806,
183,0.13977,
184,0.12691,
185,0.16824,
186,0.14063,
187,0.13994,
188,0.13137,
189,0.13754,
190,0.12691,
191,0.1444,
192,0.13154,
193,0.13926,
194,0.14046,
195,0.13154,
196,0.13754,
197,0.12691,
198,0.12691,
199,0.17699,
200,0.12691,
201,0.13789,
202,0.12691,
203,0.12159,
204,0.1372,
205,0.12691,
206,0.11113,
207,0.13686,
208,0.13737,
209,0.12691,
210,0.13789,
211,0.11611,
212,0.13909,
213,0.12005,
214,0.13754,
215,0.13789,
216,0.12691,
217,0.12348,
218,0.13789,
219,0.12691,
220,0.16927,
221,0.1384,
222,0.13977,
223,0.12691,
224,0.1384,
225,0.12691,
226,0.11353,
227,0.13977,
228,0.12691,
229,0.12691,
230,0.12708,
231,0.13754,
232,0.12691,
233,0.14217,
234,0.12897,
235,0.13686,
236,0.14046,
237,0.12708,
238,0.14372,
239,0.14097,
240,0.12691,
241,0.13703,
242,0.12691,
243,0.14492,
244,0.13874,
245,0.13154,
246,0.13823,
247,0.12691,
248,0.12691,
249,0.12691,
250,0.12691,
251,0.12708,
252,0.13806,
253,0.12691,
254,0.16515,
255,0.14012,
256,0.13943,
257,0.12708,
258,0.13154,
259,0.1444,
260,0.13789,
261,0.13943,
262,0.14046,
263,0.13977,
264,0.12674,
265,0.12708,
266,0.17785,
267,0.11919,
268,0.13926,
269,0.13343,
270,0.11696,
271,0.13651,
272,0.12691,
273,0.12691,
274,0.13789,
275,0.1396,
276,0.13446,
277,0.13943,
278,0.13154,
279,0.12691,
280,0.12039,
281,0.59768,
282,0.12691,
283,0.12691,
284,0.12691,
285,0.11748,
286,0.13617,
287,0.12674,
288,0.12691,
289,0.14012,
290,0.13686,
291,0.12691,
292,0.12691,
293,0.14423,
294,0.11834,
295,0.13617,
296,0.12691,
297,0.13926,
298,0.12691,
299,0.12691,
300,0.11765,
301,0.13634,
302,0.12691,
303,0.14749,
304,0.1396,
305,0.12691,
306,0.1432,
307,0.12674,
308,0.13686,
309,0.12674,
310,0.12691,
311,0.12691,
312,0.13703,
313,0.14012,
314,0.12691,
315,0.13686,
316,0.12691,
317,0.16841,
318,0.11285,
319,0.13686,
320,0.13754,
321,0.12691,
322,0.11748,
323,0.136,
324,0.12691,
325,0.14183,
326,0.13977,
327,0.14114,
328,0.12708,
329,0.1384,
330,0.12691,
331,0.16807,
332,0.13771,
333,0.14046,
334,0.1384,
335,0.12708,
336,0.13789,
337,0.12691,
338,0.12691,
339,0.14063,
340,0.13943,
341,0.12674,
342,0.12691,
343,0.13926,
344,0.12691,
345,0.12691,
346,0.17613,
347,0.1384,
348,0.12691,
349,0.12691,
350,0.13634,
351,0.12691,
352,0.14183,
353,0.16635,
354,0.13806,
355,0.1396,
356,0.10427,
357,0.13806,
358,0.13823,
359,0.12674,
360,0.13771,
361,0.13857,
362,0.14029,
363,0.13446,
364,0.13874,
365,0.14217,
366,0.12691,
367,0.14029,
368,0.1715,
369,0.14166,
370,0.14749,
371,0.12125,
372,0.14046,
373,0.13343,
374,0.13943,
375,0.12691,
376,0.12691,
377,0.13857,
378,0.13892,
379,0.12674,
380,0.12674,
381,0.11765,
382,0.13754,
383,0.12691,
384,0.16653,
385,0.12451,
386,0.13754,
387,0.11936,
388,0.13703,
389,0.13823,
390,0.12691,
391,0.12691,
392,0.11902,
393,0.13874,
394,0.1667,
395,0.13909,
396,0.13926,
397,0.12674,
398,0.1384,
399,0.136,
400,0.12691,
401,0.12691,
402,0.13651,
403,0.13994,
404,0.12691,
405,0.13754,
406,0.13737,
407,0.12691,
408,0.13326,
409,0.13771,
410,0.12708,
411,0.12691,
412,0.13703,
413,0.13686,
414,0.13926,
415,0.13497,
416,0.13994,
417,0.12691,
418,0.12674,
419,0.12691,
420,0.12022,
421,0.13857,
422,0.13308,
423,0.13892,
424,0.13566,
425,0.12691,
426,0.12674,
427,0.12691,
428,0.13909,
429,0.12691,
430,0.12142,
431,0.13771,
432,0.12691,
433,0.11782,
434,0.13669,
435,0.13754,
436,0.26977,
437,0.13617,
438,0.12691,
439,0.12708,
440,0.13446,
441,0.13669,
442,0.13994,
443,0.14114,
444,0.12691,
445,0.13771,
446,0.14337,
447,0.14372,
448,0.1372,
449,0.1396,
450,0.12691,
451,0.13188,
452,0.13874,
453,0.18299,
454,0.15469,
455,0.038073,
456,0.12691,
457,0.12691,
458,0.16773,
459,0.13909,
460,0.13634,
461,0.12708,
462,0.13874,
463,0.12245,
464,0.12708,
465,0.11885,
466,0.13909,
467,0.12708,
468,0.13909,
469,0.12674,
470,0.13549,
471,0.12708,
472,0.14012,
473,0.12691,
474,0.12691,
475,0.12691,
476,0.12708,
477,0.12691,
478,0.1763,
479,0.12691,
480,0.12691,
481,0.12691,
482,0.12691,
483,0.14029,
484,0.16807,
485,0.14269,
486,0.12708,
487,0.12691,
488,0.12691,
489,0.12708,
490,0.11936,
491,0.1384,
492,0.13977,
493,0.14029,
494,0.12691,
495,0.10496,
496,0.13806,
497,0.11799,
498,0.13,
499,0.13771,
500,0.12691,
501,0.13531,
502,0.12691,
503,0.13874,
504,0.12674,
505,0.1384,
506,0.12691,
507,0.12691,
508,0.142,
509,0.13806,
510,0.13806,
511,0.13857,
512,0.12691,
513,0.13737,
514,0.13977,
515,0.12691,
516,0.13703,
517,0.12691,
518,0.1456,
519,0.17476,
520,0.1396,
521,0.13977,
522,0.12691,
523,0.13909,
524,0.12691,
525,0.12691,
526,0.18762,
527,0.13892,
528,0.12691,
529,0.12691,
530,0.13823,
531,0.1348,
532,0.12691,
533,0.13017,
534,0.11525,
535,0.13651,
536,0.12691,
537,0.12348,
538,0.13686,
539,0.13154,
540,0.17013,
541,0.136,
542,0.13823,
543,0.12691,
544,0.13737,
545,0.16635,
546,0.10599,
547,0.13943,
548,0.1396,
549,0.14046,
550,0.12691,
551,0.13703,
552,0.13686,
553,0.12691,
554,0.1727,
555,0.13686,
556,0.1408,
557,0.12691,
558,0.11834,
559,0.13737,
560,0.13909,
561,0.12948,
562,0.16738,
563,0.13771,
564,0.12708,
565,0.14475,
566,0.11593,
567,0.13754,
568,0.12039,
569,0.13754,
570,0.13703,
571,0.12691,
572,0.13737,
573,0.12708,
574,0.12674,
575,0.1739,
576,0.12691,
577,0.1384,
578,0.12691,
579,0.13634,
580,0.13154,
581,0.16738,
582,0.13943,
583,0.14097,
584,0.13154,
585,0.12691,
586,0.12691,
587,0.1372,
588,0.13154,
589,0.12485,
590,0.13754,
591,0.13806,
592,0.13154,
593,0.14423,
594,0.13874,
595,0.13926,
596,0.16876,
597,0.13926,
598,0.13154,
599,0.13154,
600,0.16876,
601,0.11525,
602,0.136,
603,0.12657,
604,0.12845,
605,0.13669,
606,0.13154,
607,0.13686,
608,0.12742,
609,0.16704,
610,0.17442,
611,0.1372,
612,0.13171,
613,0.13171,
614,0.12605,
615,0.13669,
616,0.13994,
617,0.14046,
618,0.13874,
619,0.1396,
620,0.12725,
621,0.13703,
622,0.12742,
623,0.1691,
624,0.1775,
625,0.13823,
626,0.1408,
627,0.13154,
628,0.13085,
629,0.13874,
630,0.1396,
631,0.13463,
632,0.1396,
633,0.12725,
634,0.13154,
635,0.13926,
636,0.14406,
637,0.12725,
638,0.12708,
639,0.12691,
640,0.13703,
641,0.13617,
642,0.12039,
643,0.1372,
644,0.12691,
645,0.12691,
646,0.14286,
647,0.13926,
648,0.12691,
649,0.13154,
650,0.12708,
651,0.1384,
652,0.13943,
653,0.14046,
654,0.13789,
655,0.13994,
656,0.12691,
657,0.13566,
658,0.12691,
659,0.1396,
660,0.13926,
661,0.1396,
662,0.12691,
663,0.13154,
664,0.13669,
665,0.12708,
666,0.1149,
667,0.1607,
668,0.1408,
669,0.12691,
670,0.13154,
671,0.13737,
672,0.12691,
673,0.16635,
674,0.13943,
675,0.13994,
676,0.14029,
677,0.12691,
678,0.13703,
679,0.13686,
680,0.13154,
681,0.12451,
682,0.12742,
683,0.12194,
684,0.14269,
685,0.13085,
686,0.11525,
687,0.1396,
688,0.13154,
689,0.13703,
690,0.13994,
691,0.12691,
692,0.13737,
693,0.12691,
694,0.11045,
695,0.13806,
696,0.13977,
697,0.12708,
698,0.12691,
699,0.136,
700,0.13154,
701,0.12742,
702,0.13874,
703,0.12691,
704,0.13943,
705,0.12691,
706,0.13823,
707,0.12708,
708,0.12708,
709,0.13343,
710,0.1384,
711,0.14166,
712,0.12691,
713,0.13771,
714,0.16618,
715,0.14183,
716,0.14406,
717,0.11319,
718,0.13463,
719,0.10753,
720,0.13771,
721,0.13737,
722,0.12691,
723,0.14457,
724,0.13909,
725,0.13926,
726,0.1408,
727,0.13617,
728,0.13926,
729,0.12708,
730,0.12005,
731,0.13771,
732,0.13137,
733,0.11696,
734,0.11971,
735,0.13754,
736,0.12691,
737,0.13737,
738,0.136,
739,0.13977,
740,0.13994,
741,0.13909,
742,0.13926,
743,0.12708,
744,0.13737,
745,0.12691,
746,0.11954,
747,0.13857,
748,0.12691,
749,0.13874,
750,0.12708,
751,0.12657,
752,0.13771,
753,0.12708,
754,0.10187,
755,0.13669,
756,0.13806,
757,0.12708,
758,0.12708,
759,0.13789,
760,0.14029,
761,0.13977,
762,0.13737,
763,0.14183,
764,0.12691,
765,0.13686,
766,0.13154,
767,0.1679,
768,0.17665,
769,0.14217,
770,0.12674,
771,0.12691,
772,0.13789,
773,0.13977,
774,0.14132,
775,0.14046,
776,0.13789,
777,0.12691,
778,0.12708,
779,0.13823,
780,0.11679,
781,0.13857,
782,0.17133,
783,0.1384,
784,0.14012,
785,0.13154,
