index,distance
0,0.18368,
1,0.20923,
2,0.20511,
3,0.20511,
4,0.2094,
5,0.20511,
6,0.20923,
7,0.20494,
8,0.20511,
9,0.20511,
10,0.20511,
11,0.20494,
12,0.20494,
13,0.19431,
14,0.20511,
15,0.2094,
16,0.20511,
17,0.19705,
18,0.20511,
19,0.2094,
20,0.20511,
21,0.19997,
22,0.20511,
23,0.20494,
24,0.20511,
25,0.19774,
26,0.20511,
27,0.18968,
28,0.2094,
29,0.20974,
30,0.2094,
31,0.19225,
32,0.20923,
33,0.20923,
34,0.20494,
35,0.20494,
36,0.20494,
37,0.20923,
38,0.20511,
39,0.20923,
40,0.20014,
41,0.20923,
42,0.2094,
43,0.20923,
44,0.20923,
45,0.20923,
46,0.19328,
47,0.21249,
48,0.18762,
49,0.18916,
50,0.2094,
51,0.22964,
52,0.20923,
53,0.20923,
54,0.20203,
55,0.20923,
56,0.20906,
57,0.20906,
58,0.20906,
59,0.21386,
60,0.18848,
61,0.20906,
62,0.19963,
63,0.22467,
64,0.20494,
65,0.20906,
66,0.19551,
67,0.21592,
68,0.13703,
69,0.22878,
70,0.20511,
71,0.20494,
72,0.22398,
73,0.1974,
74,0.2094,
75,0.19894,
76,0.20511,
77,0.20923,
78,0.21575,
79,0.19911,
80,0.22809,
81,0.20374,
82,0.20923,
83,0.22226,
84,0.22158,
85,0.18711,
86,0.19945,
87,0.20923,
88,0.20511,
89,0.20511,
90,0.20974,
91,0.20048,
92,0.20494,
93,0.20511,
94,0.2118,
95,0.19945,
96,0.20957,
97,0.20494,
98,0.21163,
99,0.195,
100,0.20494,
101,0.18745,
102,0.20477,
103,0.19277,
104,0.21215,
105,0.20511,
106,0.20906,
107,0.19568,
108,0.20511,
109,0.18711,
110,0.18316,
111,0.20511,
112,0.20511,
113,0.20494,
114,0.21095,
115,0.201,
116,0.21095,
117,0.20511,
118,0.21232,
119,0.19843,
120,0.22535,
121,0.19757,
122,0.20494,
123,0.19808,
