index,distance
399,0.36289,
400,0.39239,
401,0.35878,
402,0.35878,
403,0.36752,
404,0.38124,
405,0.35895,
406,0.35878,
407,0.35912,
408,0.39599,
409,0.35878,
410,0.35878,
411,0.3665,
412,0.36324,
413,0.36358,
414,0.33031,
415,0.35878,
416,0.3881,
417,0.35878,
418,0.37216,
419,0.36444,
420,0.35878,
421,0.37901,
422,0.33391,
423,0.35895,
424,0.39205,
425,0.35878,
426,0.35895,
427,0.36564,
428,0.35878,
429,0.36324,
430,0.35895,
431,0.36752,
432,0.39359,
433,0.35878,
434,0.35878,
435,0.37456,
436,0.37216,
437,0.36289,
438,0.36307,
439,0.36324,
440,0.43098,
441,0.36993,
442,0.36564,
443,0.37216,
444,0.35895,
445,0.35895,
446,0.33271,
447,0.35912,
448,0.39274,
449,0.35895,
450,0.37336,
451,0.36547,
452,0.35878,
453,0.35895,
454,0.36341,
455,0.35895,
456,0.38227,
457,0.36341,
458,0.3406,
459,0.35912,
460,0.35929,
461,0.35912,
462,0.35912,
463,0.35929,
464,0.37113,
465,0.35912,
466,0.37747,
467,0.37661,
468,0.3725,
469,0.36358,
470,0.35912,
471,0.35895,
472,0.42978,
473,0.36358,
474,0.37576,
475,0.36684,
476,0.36358,
477,0.35929,
478,0.35895,
479,0.35929,
480,0.39325,
481,0.35929,
482,0.37095,
483,0.3797,
484,0.36375,
485,0.36341,
486,0.35929,
487,0.36049,
488,0.36632,
489,0.3677,
490,0.42052,
491,0.37558,
492,0.37061,
493,0.37181,
494,0.35912,
495,0.35895,
496,0.36752,
497,0.35895,
498,0.35912,
499,0.35878,
500,0.36495,
501,0.36547,
502,0.38193,
503,0.35878,
504,0.36752,
505,0.36341,
506,0.39068,
507,0.36341,
508,0.37987,
509,0.36564,
510,0.38107,
511,0.3677,
512,0.33168,
513,0.36324,
514,0.349,
515,0.3677,
516,0.3773,
517,0.37558,
518,0.36289,
519,0.3677,
520,0.36752,
521,0.3677,
522,0.42052,
523,0.37387,
524,0.37095,
525,0.36581,
526,0.36324,
527,0.36324,
528,0.36341,
529,0.36324,
530,0.39136,
531,0.35346,
532,0.33803,
533,0.36324,
534,0.35895,
535,0.35912,
536,0.33906,
537,0.36341,
538,0.39634,
539,0.35912,
540,0.3677,
541,0.33957,
542,0.35929,
543,0.35895,
544,0.33117,
545,0.3677,
546,0.37078,
547,0.36341,
548,0.36358,
549,0.36975,
550,0.35895,
551,0.36341,
552,0.35895,
553,0.35895,
554,0.38862,
555,0.36341,
556,0.37541,
557,0.36941,
558,0.35878,
559,0.35878,
560,0.35895,
561,0.35895,
562,0.39616,
563,0.35878,
564,0.37061,
565,0.36461,
566,0.35912,
567,0.35878,
568,0.36341,
569,0.36341,
570,0.37318,
571,0.35895,
572,0.36444,
573,0.37558,
574,0.36341,
575,0.36341,
576,0.36358,
577,0.36358,
578,0.39308,
579,0.35878,
580,0.35895,
581,0.36341,
582,0.36341,
583,0.37781,
584,0.32825,
585,0.35912,
586,0.38948,
587,0.36358,
588,0.35895,
589,0.36307,
590,0.37387,
591,0.35912,
592,0.35895,
593,0.35895,
594,0.35895,
595,0.35895,
596,0.37747,
597,0.37867,
598,0.35878,
599,0.36684,
600,0.32894,
601,0.35929,
602,0.39033,
603,0.35895,
604,0.34111,
605,0.37679,
606,0.36358,
607,0.35895,
608,0.36358,
609,0.35895,
610,0.39428,
611,0.35895,
612,0.36512,
613,0.34163,
614,0.35878,
615,0.35878,
616,0.35895,
617,0.35895,
618,0.35895,
619,0.35895,
620,0.35895,
621,0.35895,
622,0.36701,
623,0.35895,
624,0.35929,
625,0.35895,
626,0.38107,
627,0.35878,
628,0.35895,
629,0.37318,
630,0.35929,
631,0.3785,
632,0.33425,
633,0.37936,
634,0.38553,
635,0.36341,
636,0.34146,
637,0.38142,
638,0.36341,
639,0.36358,
640,0.36358,
641,0.36324,
642,0.35912,
643,0.36358,
644,0.35912,
645,0.39102,
646,0.35912,
647,0.36478,
648,0.37061,
649,0.36341,
650,0.36358,
651,0.35929,
652,0.35946,
653,0.38399,
654,0.35912,
655,0.37987,
656,0.34866,
657,0.36358,
658,0.36341,
659,0.36375,
660,0.35123,
661,0.36341,
662,0.36358,
663,0.37987,
664,0.37164,
665,0.38073,
666,0.36341,
667,0.36358,
668,0.36341,
669,0.39342,
670,0.35912,
671,0.35912,
672,0.36941,
673,0.35912,
674,0.36529,
675,0.32722,
676,0.36804,
677,0.38279,
678,0.35946,
679,0.36787,
680,0.37747,
681,0.36358,
682,0.35929,
683,0.35895,
684,0.35912,
685,0.38416,
686,0.35895,
687,0.36358,
688,0.35946,
689,0.35912,
690,0.35946,
691,0.35929,
692,0.35929,
693,0.35929,
694,0.35946,
695,0.37713,
696,0.36375,
697,0.36375,
698,0.35946,
699,0.35946,
700,0.36358,
701,0.43029,
702,0.35929,
703,0.37867,
704,0.37421,
705,0.35929,
706,0.36358,
707,0.32739,
708,0.35946,
709,0.37867,
710,0.35946,
711,0.35912,
712,0.34729,
713,0.35946,
714,0.35946,
715,0.34197,
716,0.35946,
717,0.38673,
718,0.35946,
719,0.35929,
720,0.36238,
721,0.35946,
722,0.35929,
723,0.35946,
724,0.35946,
725,0.3809,
726,0.36358,
727,0.37095,
728,0.37541,
729,0.35929,
730,0.36358,
731,0.35929,
732,0.35946,
733,0.38365,
734,0.35912,
735,0.35946,
736,0.37387,
737,0.35946,
738,0.36375,
739,0.36358,
740,0.35929,
741,0.39171,
742,0.35929,
743,0.34231,
744,0.35946,
745,0.35946,
746,0.35929,
747,0.35946,
748,0.35946,
749,0.35929,
750,0.36307,
751,0.36907,
752,0.35912,
753,0.36358,
754,0.35929,
755,0.35929,
756,0.35929,
757,0.39016,
758,0.35929,
759,0.35912,
760,0.3394,
761,0.36324,
762,0.37884,
763,0.32208,
764,0.35929,
765,0.38159,
766,0.36358,
767,0.37438,
768,0.37816,
769,0.36341,
770,0.36341,
771,0.36341,
772,0.36358,
773,0.39737,
774,0.36358,
775,0.37078,
776,0.34283,
777,0.36358,
778,0.36341,
779,0.36358,
780,0.35946,
781,0.38725,
782,0.35929,
783,0.36787,
784,0.34523,
785,0.35929,
786,0.36375,
787,0.35929,
788,0.36358,
789,0.38519,
790,0.35929,
791,0.38142,
792,0.3689,
793,0.36358,
794,0.35929,
795,0.35946,
796,0.35946,
797,0.37833,
798,0.35929,
